id_commande,date_commande,client_id,produit,categorie,quantite,prix_unitaire,region,montant_total,annee,mois
1001,2024-01-05,C001,Laptop Dell,Informatique,1,899.99,Nord,899.99,2024,1
1002,2024-01-07,C002,Souris Logitech,Informatique,2,29.99,Sud,59.98,2024,1
1004,2024-01-12,C003,Chaise Bureau,Mobilier,1,349.99,Nord,349.99,2024,1
1005,2024-01-15,C001,Moniteur LG,Informatique,2,299.99,Nord,599.98,2024,1
1006,2024-01-18,C004,Bureau Debout,Mobilier,1,599.99,Ouest,599.99,2024,1
1007,2024-01-20,C002,Webcam HD,Informatique,1,89.99,Sud,89.99,2024,1
1008,2024-01-22,C005,Lampe Bureau,Mobilier,3,49.99,Est,149.97,2024,1
1010,2024-02-03,C006,Tablette iPad,Informatique,1,549.99,Sud,549.99,2024,2
1011,2024-02-08,C007,Imprimante HP,Informatique,1,199.99,Ouest,199.99,2024,2
1012,2024-02-14,C008,Tapis Souris,Informatique,4,19.99,Nord,79.96,2024,2
1013,2024-02-20,C004,Etagere Bureau,Mobilier,1,129.99,Ouest,129.99,2024,2
1014,2024-03-01,C009,SSD Samsung,Informatique,2,89.99,Est,179.98,2024,3
1015,2024-03-05,C010,Armoire,Mobilier,1,449.99,Sud,449.99,2024,3
